landuse,textabbr_fingprob,text_fingprob,calccarb_hcl,som_elmntprc,ph_cacl2,lime_requirement,p_calmg100g,k_calmg100g,mg_catmgkg,b_catmgkg,mn_catmgkg,cu_catmgkg,zn_catmgkg,clay,silt,sand
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,5.3,7.3,0,26,21,30,0.98,9,36,11,14.4,75.3,10.3
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4.9,6.7,0,22,10,26,0.78,65,13,11,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,4.3,7,0,33,25,34,1.04,17,73,23,4,65,31
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.9,7.3,0,36,16,25,0.91,14,27,13,6.5,17.5,76
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,2.6,7.3,0,33,19,26,0.7,12,25,20,6.5,17.5,76
Vineyards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,2.9,6.2,0,22,17,21,0.71,68,305,33,10,25,65
Orchards,Su3,Mittel schluffiger Sand,high_carbonate,0.9,7.4,0,10,17,13,0.51,25,10,5,4,32.5,63.5
Orchards,Us,Sandiger Schluff,high_carbonate,3.6,7,0,38,26,39,0.91,20,38,17,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,4.1,7,0,62,40,33,0.82,15,12,14,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,3.8,7,0,24,17,24,0.67,14,34,13,4,65,31
Orchards,Us,Sandiger Schluff,high_carbonate,4,6.9,0,33,19,30,0.66,19,51,27,4,65,31
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,3.8,7.1,0,21,15,25,0.61,26,66,21,21,35,44
Orchards,Ut3,Mittel toniger Schluff,low_medium_carbonate,8,6.8,0,24,41,48,1.42,19,152,19,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,2,7.1,0,14,18,18,0.48,19,46,15,4,65,31
Vineyards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,4,6.8,0,27,18,38,1,56,452,37,10,25,65
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.8,7.1,0,32,22,25,0.77,13,18,10,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,7.5,7.5,0,57,17,35,1.57,12,32,18,14.4,75.3,10.3
Orchards,Us,Sandiger Schluff,high_carbonate,2.1,7.3,0,21,17,20,0.63,20,11,11,4,65,31
Vineyards,Us,Sandiger Schluff,high_carbonate,2,7.2,0,32,19,22,0.27,7,123,11,4,65,31
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,3.2,7.3,0,23,20,21,0.47,14,27,10,14.4,75.3,10.3
Orchards,Ut3,Mittel toniger Schluff,high_carbonate,14.7,7.2,0,6,14,26,1.07,7,8,4,14.4,75.3,10.3
Orchards,Ls3,Mittel sandiger Lehm,high_carbonate,4.5,7.1,0,35,37,41,0.91,58,103,53,21,35,44
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,7.6,7.2,0,9,14,26,0.58,18,11,4,10,25,65
Orchards,Sl3,Mittel lehmiger Sand,low_medium_carbonate,3,6.9,0,17,22,46,1.1,71,56,26,10,25,65
Orchards,Us,Sandiger Schluff,high_carbonate,8.3,7.3,0,20,31,34,1.17,7,46,39,4,65,31
Orchards,Sl3,Mittel lehmiger Sand,high_carbonate,3.6,7.2,0,18,19,16,0.59,19,34,13,10,25,65
Orchards,Sl2,Schwach lehmiger Sand,high_carbonate,3.5,7.2,0,23,24,18,0.54,17,43,12,6.5,17.5,76
